2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|20|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|25|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|28|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consulting|21.5|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consulting|unpaid|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consulting|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consumer Goods|18|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consumer Goods|20|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Corporate/Special/Law Library|11.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|17|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Corporate/Special/Law Library|21.11|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|17|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Entertainment|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|18|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Environmental/Natural Resources|16|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Environmental/Natural Resources|16.33|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|17.5|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Healthcare|31|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|18.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|28|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Multimedia/Publishing|13|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|10|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Multimedia/Publishing|15|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Government/Government Library/Archives|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|8.45|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Government/Government Library/Archives|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|9.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|16.13|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|10|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|16.13|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|11.5|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|19.99|42.2808256|-83.7430378
2011-12|Ann ARbor, Michigan|Museum/Historical Society/Archives|11.5|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|12|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|12.5|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|15|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|20|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|17|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|17|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Museum/Historical Society/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|18|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|10|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|20|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|10|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Nonprofit|15|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Healthcare|31|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Nonprofit|20|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Healthcare|unpaid|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Multimedia/Publishing|13|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Multimedia/Publishing|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Nonprofit|23|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|8.45|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Nonprofit|25|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|9.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Nonprofit|25|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|10|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|25|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Museum/Historical Society/Archives|11.5|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Nonprofit|unpaid|42.2808256|-83.7430378
2011-12|Ann ARbor, Michigan|Museum/Historical Society/Archives|11.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Nonprofit|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Museum/Historical Society/Archives|12|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|unpaid|42.2808256|-83.7430378
